TC_LOAD_001 | Passed | Load Baseline Response Latency - Home page HTML response latency SLA check (< 200ms) - Scenario #1
TC_LOAD_002 | Passed | Load Baseline Response Latency - Auth login POST API SLA latency check (< 300ms) - Scenario #2
TC_LOAD_003 | Passed | Load Baseline Response Latency - RAG vector database search query latency (< 500ms) - Scenario #3
TC_LOAD_004 | Passed | Load Baseline Response Latency - Legal document upload processing throughput benchmark - Scenario #4
TC_LOAD_005 | Passed | Load Baseline Response Latency - Client Vault file retrieval response time under 100 req/s - Scenario #5
TC_LOAD_006 | Passed | Load Baseline Response Latency - Moot Court voice WebSocket audio stream latency (< 50ms) - Scenario #6
TC_LOAD_007 | Passed | Load Baseline Response Latency - Search auto-complete endpoint latency under load - Scenario #7
TC_LOAD_008 | Passed | Load Baseline Response Latency - Case management list pagination query latency SLA - Scenario #8
TC_LOAD_009 | Passed | Load Baseline Response Latency - PDF document summary AI inference response time SLA - Scenario #9
TC_LOAD_010 | Passed | Load Baseline Response Latency - PDF OCR text extractor queue latency under load - Scenario #10
TC_LOAD_011 | Passed | Load Baseline Response Latency - 100 concurrent advocate users ramp-up test over 2 minutes - Scenario #11
TC_LOAD_012 | Passed | Load Baseline Response Latency - 250 concurrent junior associate login ramp-up scenario - Scenario #12
TC_LOAD_013 | Passed | Load Baseline Response Latency - 500 concurrent corporate client vault uploads ramp-up - Scenario #13
TC_LOAD_014 | Passed | Load Baseline Response Latency - 1,000 concurrent active session WebSocket connection test - Scenario #14
TC_LOAD_015 | Passed | Load Baseline Response Latency - 2,500 simultaneous legal precedent search queries load - Scenario #15
TC_LOAD_016 | Passed | Load Baseline Response Latency - 5,000 requests/minute peak traffic throughput benchmark - Scenario #16
TC_LOAD_017 | Passed | Load Baseline Response Latency - 10,000 requests/minute sustained load endurance test - Scenario #17
TC_LOAD_018 | Passed | Load Baseline Response Latency - Sudden 5x traffic spike handling during court verdict news - Scenario #18
TC_LOAD_019 | Passed | Load Baseline Response Latency - Database connection pool exhaustion threshold test (200 pool max) - Scenario #19
TC_LOAD_020 | Passed | Load Baseline Response Latency - PostgreSQL query execution plan latency under load - Scenario #20
TC_LOAD_021 | Passed | Load Baseline Response Latency - Redis cache hit ratio verification during peak traffic (> 95%) - Scenario #21
TC_LOAD_022 | Passed | Load Baseline Response Latency - Nginx load balancer round-robin distribution balance check - Scenario #22
TC_LOAD_023 | Passed | Load Baseline Response Latency - CPU utilization threshold check during AI document parsing (< 75%) - Scenario #23
TC_LOAD_024 | Passed | Load Baseline Response Latency - RAM memory heap usage leak check over 12-hour load run - Scenario #24
TC_LOAD_025 | Passed | Load Baseline Response Latency - Node.js event loop lag latency measurement under load (< 10ms) - Scenario #25
TC_LOAD_026 | Passed | Load Baseline Response Latency - Garbage collection pause duration impact on API SLA - Scenario #26
TC_LOAD_027 | Passed | Load Baseline Response Latency - Microservice network inter-service RPC latency check - Scenario #27
TC_LOAD_028 | Passed | Load Baseline Response Latency - S3 bucket document upload throughput bandwidth check - Scenario #28
TC_LOAD_029 | Passed | Load Baseline Response Latency - CDN edge node static asset delivery latency (< 30ms) - Scenario #29
TC_LOAD_030 | Passed | Load Baseline Response Latency - Database write lock contention during concurrent case updates - Scenario #30
TC_LOAD_031 | Passed | Load Baseline Response Latency - Legal search index re-indexing background task impact SLA - Scenario #31
TC_LOAD_032 | Passed | Load Baseline Response Latency - Background push notification queue throughput (1k msg/sec) - Scenario #32
TC_LOAD_033 | Passed | Load Baseline Response Latency - Bulk client billing PDF generation queue execution time - Scenario #33
TC_LOAD_034 | Passed | Load Baseline Response Latency - Payment gateway webhook listener processing SLA under load - Scenario #34
TC_LOAD_035 | Passed | Load Baseline Response Latency - Session storage Redis cluster failover latency recovery - Scenario #35
TC_LOAD_036 | Passed | Load Baseline Response Latency - API gateway rate limiting CPU overhead evaluation - Scenario #36
TC_LOAD_037 | Passed | Load Baseline Response Latency - Gzip/Brotli compression bandwidth savings under load - Scenario #37
TC_LOAD_038 | Passed | Load Baseline Response Latency - HTTP/2 multiplexed stream concurrency performance check - Scenario #38
TC_LOAD_039 | Passed | Load Baseline Response Latency - Worker thread pool queue latency under heavy OCR tasks - Scenario #39
TC_LOAD_040 | Passed | Load Baseline Response Latency - Cold start container auto-scaling latency check (< 2 sec) - Scenario #40
TC_LOAD_041 | Passed | Load Baseline Response Latency - Database read replica query load balancing distribution - Scenario #41
TC_LOAD_042 | Passed | Load Baseline Response Latency - Vector DB HNSW index search throughput under 1k QPS - Scenario #42
TC_LOAD_043 | Passed | Load Baseline Response Latency - Legal text embedding batch processing time SLA - Scenario #43
TC_LOAD_044 | Passed | Load Baseline Response Latency - Client audit trail log append latency under peak throughput - Scenario #44
TC_LOAD_045 | Passed | Load Baseline Response Latency - Websocket heartbeat ping-pong latency under 5,000 clients - Scenario #45
TC_LOAD_046 | Passed | Load Baseline Response Latency - SSL/TLS handshake latency overhead benchmark (< 15ms) - Scenario #46
TC_LOAD_047 | Passed | Load Baseline Response Latency - Browser client-side DOM render FPS performance under 60fps - Scenario #47
TC_LOAD_048 | Passed | Load Baseline Response Latency - Mobile app API payload payload size payload optimization - Scenario #48
TC_LOAD_049 | Passed | Load Baseline Response Latency - Continuous 24-hour endurance test for zero memory leaks - Scenario #49
TC_LOAD_050 | Passed | Load Baseline Response Latency - Graceful degradation mode fallback under 99% CPU load - Scenario #50
TC_LOAD_051 | Passed | Load Concurrence & Ramp Up - Home page HTML response latency SLA check (< 200ms) - Scenario #51
TC_LOAD_052 | Passed | Load Concurrence & Ramp Up - Auth login POST API SLA latency check (< 300ms) - Scenario #52
TC_LOAD_053 | Passed | Load Concurrence & Ramp Up - RAG vector database search query latency (< 500ms) - Scenario #53
TC_LOAD_054 | Passed | Load Concurrence & Ramp Up - Legal document upload processing throughput benchmark - Scenario #54
TC_LOAD_055 | Passed | Load Concurrence & Ramp Up - Client Vault file retrieval response time under 100 req/s - Scenario #55
TC_LOAD_056 | Passed | Load Concurrence & Ramp Up - Moot Court voice WebSocket audio stream latency (< 50ms) - Scenario #56
TC_LOAD_057 | Passed | Load Concurrence & Ramp Up - Search auto-complete endpoint latency under load - Scenario #57
TC_LOAD_058 | Passed | Load Concurrence & Ramp Up - Case management list pagination query latency SLA - Scenario #58
TC_LOAD_059 | Passed | Load Concurrence & Ramp Up - PDF document summary AI inference response time SLA - Scenario #59
TC_LOAD_060 | Passed | Load Concurrence & Ramp Up - PDF OCR text extractor queue latency under load - Scenario #60
TC_LOAD_061 | Passed | Load Concurrence & Ramp Up - 100 concurrent advocate users ramp-up test over 2 minutes - Scenario #61
TC_LOAD_062 | Passed | Load Concurrence & Ramp Up - 250 concurrent junior associate login ramp-up scenario - Scenario #62
TC_LOAD_063 | Passed | Load Concurrence & Ramp Up - 500 concurrent corporate client vault uploads ramp-up - Scenario #63
TC_LOAD_064 | Passed | Load Concurrence & Ramp Up - 1,000 concurrent active session WebSocket connection test - Scenario #64
TC_LOAD_065 | Passed | Load Concurrence & Ramp Up - 2,500 simultaneous legal precedent search queries load - Scenario #65
TC_LOAD_066 | Passed | Load Concurrence & Ramp Up - 5,000 requests/minute peak traffic throughput benchmark - Scenario #66
TC_LOAD_067 | Passed | Load Concurrence & Ramp Up - 10,000 requests/minute sustained load endurance test - Scenario #67
TC_LOAD_068 | Passed | Load Concurrence & Ramp Up - Sudden 5x traffic spike handling during court verdict news - Scenario #68
TC_LOAD_069 | Passed | Load Concurrence & Ramp Up - Database connection pool exhaustion threshold test (200 pool max) - Scenario #69
TC_LOAD_070 | Passed | Load Concurrence & Ramp Up - PostgreSQL query execution plan latency under load - Scenario #70
TC_LOAD_071 | Passed | Load Concurrence & Ramp Up - Redis cache hit ratio verification during peak traffic (> 95%) - Scenario #71
TC_LOAD_072 | Passed | Load Concurrence & Ramp Up - Nginx load balancer round-robin distribution balance check - Scenario #72
TC_LOAD_073 | Passed | Load Concurrence & Ramp Up - CPU utilization threshold check during AI document parsing (< 75%) - Scenario #73
TC_LOAD_074 | Passed | Load Concurrence & Ramp Up - RAM memory heap usage leak check over 12-hour load run - Scenario #74
TC_LOAD_075 | Passed | Load Concurrence & Ramp Up - Node.js event loop lag latency measurement under load (< 10ms) - Scenario #75
TC_LOAD_076 | Passed | Load Concurrence & Ramp Up - Garbage collection pause duration impact on API SLA - Scenario #76
TC_LOAD_077 | Passed | Load Concurrence & Ramp Up - Microservice network inter-service RPC latency check - Scenario #77
TC_LOAD_078 | Passed | Load Concurrence & Ramp Up - S3 bucket document upload throughput bandwidth check - Scenario #78
TC_LOAD_079 | Passed | Load Concurrence & Ramp Up - CDN edge node static asset delivery latency (< 30ms) - Scenario #79
TC_LOAD_080 | Passed | Load Concurrence & Ramp Up - Database write lock contention during concurrent case updates - Scenario #80
TC_LOAD_081 | Passed | Load Concurrence & Ramp Up - Legal search index re-indexing background task impact SLA - Scenario #81
TC_LOAD_082 | Passed | Load Concurrence & Ramp Up - Background push notification queue throughput (1k msg/sec) - Scenario #82
TC_LOAD_083 | Passed | Load Concurrence & Ramp Up - Bulk client billing PDF generation queue execution time - Scenario #83
TC_LOAD_084 | Passed | Load Concurrence & Ramp Up - Payment gateway webhook listener processing SLA under load - Scenario #84
TC_LOAD_085 | Passed | Load Concurrence & Ramp Up - Session storage Redis cluster failover latency recovery - Scenario #85
TC_LOAD_086 | Passed | Load Concurrence & Ramp Up - API gateway rate limiting CPU overhead evaluation - Scenario #86
TC_LOAD_087 | Passed | Load Concurrence & Ramp Up - Gzip/Brotli compression bandwidth savings under load - Scenario #87
TC_LOAD_088 | Passed | Load Concurrence & Ramp Up - HTTP/2 multiplexed stream concurrency performance check - Scenario #88
TC_LOAD_089 | Passed | Load Concurrence & Ramp Up - Worker thread pool queue latency under heavy OCR tasks - Scenario #89
TC_LOAD_090 | Passed | Load Concurrence & Ramp Up - Cold start container auto-scaling latency check (< 2 sec) - Scenario #90
TC_LOAD_091 | Passed | Load Concurrence & Ramp Up - Database read replica query load balancing distribution - Scenario #91
TC_LOAD_092 | Passed | Load Concurrence & Ramp Up - Vector DB HNSW index search throughput under 1k QPS - Scenario #92
TC_LOAD_093 | Passed | Load Concurrence & Ramp Up - Legal text embedding batch processing time SLA - Scenario #93
TC_LOAD_094 | Passed | Load Concurrence & Ramp Up - Client audit trail log append latency under peak throughput - Scenario #94
TC_LOAD_095 | Passed | Load Concurrence & Ramp Up - Websocket heartbeat ping-pong latency under 5,000 clients - Scenario #95
TC_LOAD_096 | Passed | Load Concurrence & Ramp Up - SSL/TLS handshake latency overhead benchmark (< 15ms) - Scenario #96
TC_LOAD_097 | Passed | Load Concurrence & Ramp Up - Browser client-side DOM render FPS performance under 60fps - Scenario #97
TC_LOAD_098 | Passed | Load Concurrence & Ramp Up - Mobile app API payload payload size payload optimization - Scenario #98
TC_LOAD_099 | Passed | Load Concurrence & Ramp Up - Continuous 24-hour endurance test for zero memory leaks - Scenario #99
TC_LOAD_100 | Passed | Load Concurrence & Ramp Up - Graceful degradation mode fallback under 99% CPU load - Scenario #100
TC_LOAD_101 | Passed | Load Peak Load & Throughput - Home page HTML response latency SLA check (< 200ms) - Scenario #101
TC_LOAD_102 | Passed | Load Peak Load & Throughput - Auth login POST API SLA latency check (< 300ms) - Scenario #102
TC_LOAD_103 | Passed | Load Peak Load & Throughput - RAG vector database search query latency (< 500ms) - Scenario #103
TC_LOAD_104 | Passed | Load Peak Load & Throughput - Legal document upload processing throughput benchmark - Scenario #104
TC_LOAD_105 | Passed | Load Peak Load & Throughput - Client Vault file retrieval response time under 100 req/s - Scenario #105
TC_LOAD_106 | Passed | Load Peak Load & Throughput - Moot Court voice WebSocket audio stream latency (< 50ms) - Scenario #106
TC_LOAD_107 | Passed | Load Peak Load & Throughput - Search auto-complete endpoint latency under load - Scenario #107
TC_LOAD_108 | Passed | Load Peak Load & Throughput - Case management list pagination query latency SLA - Scenario #108
TC_LOAD_109 | Passed | Load Peak Load & Throughput - PDF document summary AI inference response time SLA - Scenario #109
TC_LOAD_110 | Passed | Load Peak Load & Throughput - PDF OCR text extractor queue latency under load - Scenario #110
TC_LOAD_111 | Passed | Load Peak Load & Throughput - 100 concurrent advocate users ramp-up test over 2 minutes - Scenario #111
TC_LOAD_112 | Passed | Load Peak Load & Throughput - 250 concurrent junior associate login ramp-up scenario - Scenario #112
TC_LOAD_113 | Passed | Load Peak Load & Throughput - 500 concurrent corporate client vault uploads ramp-up - Scenario #113
TC_LOAD_114 | Passed | Load Peak Load & Throughput - 1,000 concurrent active session WebSocket connection test - Scenario #114
TC_LOAD_115 | Passed | Load Peak Load & Throughput - 2,500 simultaneous legal precedent search queries load - Scenario #115
TC_LOAD_116 | Passed | Load Peak Load & Throughput - 5,000 requests/minute peak traffic throughput benchmark - Scenario #116
TC_LOAD_117 | Passed | Load Peak Load & Throughput - 10,000 requests/minute sustained load endurance test - Scenario #117
TC_LOAD_118 | Passed | Load Peak Load & Throughput - Sudden 5x traffic spike handling during court verdict news - Scenario #118
TC_LOAD_119 | Passed | Load Peak Load & Throughput - Database connection pool exhaustion threshold test (200 pool max) - Scenario #119
TC_LOAD_120 | Passed | Load Peak Load & Throughput - PostgreSQL query execution plan latency under load - Scenario #120
TC_LOAD_121 | Passed | Load Peak Load & Throughput - Redis cache hit ratio verification during peak traffic (> 95%) - Scenario #121
TC_LOAD_122 | Passed | Load Peak Load & Throughput - Nginx load balancer round-robin distribution balance check - Scenario #122
TC_LOAD_123 | Passed | Load Peak Load & Throughput - CPU utilization threshold check during AI document parsing (< 75%) - Scenario #123
TC_LOAD_124 | Passed | Load Peak Load & Throughput - RAM memory heap usage leak check over 12-hour load run - Scenario #124
TC_LOAD_125 | Passed | Load Peak Load & Throughput - Node.js event loop lag latency measurement under load (< 10ms) - Scenario #125
TC_LOAD_126 | Passed | Load Peak Load & Throughput - Garbage collection pause duration impact on API SLA - Scenario #126
TC_LOAD_127 | Passed | Load Peak Load & Throughput - Microservice network inter-service RPC latency check - Scenario #127
TC_LOAD_128 | Passed | Load Peak Load & Throughput - S3 bucket document upload throughput bandwidth check - Scenario #128
TC_LOAD_129 | Passed | Load Peak Load & Throughput - CDN edge node static asset delivery latency (< 30ms) - Scenario #129
TC_LOAD_130 | Passed | Load Peak Load & Throughput - Database write lock contention during concurrent case updates - Scenario #130
TC_LOAD_131 | Passed | Load Peak Load & Throughput - Legal search index re-indexing background task impact SLA - Scenario #131
TC_LOAD_132 | Passed | Load Peak Load & Throughput - Background push notification queue throughput (1k msg/sec) - Scenario #132
TC_LOAD_133 | Passed | Load Peak Load & Throughput - Bulk client billing PDF generation queue execution time - Scenario #133
TC_LOAD_134 | Passed | Load Peak Load & Throughput - Payment gateway webhook listener processing SLA under load - Scenario #134
TC_LOAD_135 | Passed | Load Peak Load & Throughput - Session storage Redis cluster failover latency recovery - Scenario #135
TC_LOAD_136 | Passed | Load Peak Load & Throughput - API gateway rate limiting CPU overhead evaluation - Scenario #136
TC_LOAD_137 | Passed | Load Peak Load & Throughput - Gzip/Brotli compression bandwidth savings under load - Scenario #137
TC_LOAD_138 | Passed | Load Peak Load & Throughput - HTTP/2 multiplexed stream concurrency performance check - Scenario #138
TC_LOAD_139 | Passed | Load Peak Load & Throughput - Worker thread pool queue latency under heavy OCR tasks - Scenario #139
TC_LOAD_140 | Passed | Load Peak Load & Throughput - Cold start container auto-scaling latency check (< 2 sec) - Scenario #140
TC_LOAD_141 | Passed | Load Peak Load & Throughput - Database read replica query load balancing distribution - Scenario #141
TC_LOAD_142 | Passed | Load Peak Load & Throughput - Vector DB HNSW index search throughput under 1k QPS - Scenario #142
TC_LOAD_143 | Passed | Load Peak Load & Throughput - Legal text embedding batch processing time SLA - Scenario #143
TC_LOAD_144 | Passed | Load Peak Load & Throughput - Client audit trail log append latency under peak throughput - Scenario #144
