TC_APPM_001 | Passed | Mobile app cold start launch & splash screen rendering - Mobile Scenario #1
TC_APPM_002 | Passed | Mobile OTP auto-fill verification on client login - Mobile Scenario #2
TC_APPM_003 | Passed | Biometric TouchID login prompt on Lexi AI mobile portal - Mobile Scenario #3
TC_APPM_004 | Passed | Lawyer advocate bar registration credential verification - Mobile Scenario #4
TC_APPM_005 | Passed | Junior advocate invitation code onboarding flow - Mobile Scenario #5
TC_APPM_006 | Passed | SSO Google OAuth token refresh on mobile background sync - Mobile Scenario #6
TC_APPM_007 | Passed | Biometric FaceID fallback to PIN entry on auth lock - Mobile Scenario #7
TC_APPM_008 | Passed | Mobile multi-tenant enterprise advocate login switcher - Mobile Scenario #8
TC_APPM_009 | Passed | Client terms of service acceptance & privacy prompt - Mobile Scenario #9
TC_APPM_010 | Passed | Mobile session token persistence after force app restart - Mobile Scenario #10
TC_APPM_011 | Passed | Passkey FIDO2 passwordless auth integration check - Mobile Scenario #11
TC_APPM_012 | Passed | Remember Me encrypted credential storage in SecureStore - Mobile Scenario #12
TC_APPM_013 | Passed | Mobile device registration & MAC address binding - Mobile Scenario #13
TC_APPM_014 | Passed | Advocate account verification email link deep-link launch - Mobile Scenario #14
TC_APPM_015 | Passed | Mobile app initial permissions request (Camera, Storage, Mic) - Mobile Scenario #15
TC_APPM_016 | Passed | Password policy enforcement validator (min 12 chars, symbol) - Mobile Scenario #16
TC_APPM_017 | Passed | Client avatar image camera capture & crop during signup - Mobile Scenario #17
TC_APPM_018 | Passed | Mobile biometric re-authentication for high-security vault - Mobile Scenario #18
TC_APPM_019 | Passed | Failed login exponential backoff lockout timer UI - Mobile Scenario #19
TC_APPM_020 | Passed | Mobile logout token revocation & local storage cache purge - Mobile Scenario #20
TC_APPM_021 | Passed | Two-factor authenticator app (TOTP 6-digit) input screen - Mobile Scenario #21
TC_APPM_022 | Passed | Client identity document driver license scan onboarding - Mobile Scenario #22
TC_APPM_023 | Passed | Junior advocate email domain restriction check (@lexiai.legal) - Mobile Scenario #23
TC_APPM_024 | Passed | Mobile session expiration warning toast & inline renew - Mobile Scenario #24
TC_APPM_025 | Passed | Cross-device mobile session revocation management view - Mobile Scenario #25
TC_APPM_026 | Passed | Advocate bar card photo upload verification pipeline - Mobile Scenario #26
TC_APPM_027 | Passed | Mobile push notification token handshake on first auth - Mobile Scenario #27
TC_APPM_028 | Passed | Client terms version update prompt & re-signature requirement - Mobile Scenario #28
TC_APPM_029 | Passed | Mobile offline mode login attempt graceful error banner - Mobile Scenario #29
TC_APPM_030 | Passed | Dark mode preference auto-detect on initial app splash - Mobile Scenario #30
TC_APPM_031 | Passed | Language selection dropdown (English, Hindi, Tamil, Marathi) - Mobile Scenario #31
TC_APPM_032 | Passed | Mobile client onboarding survey wizard step 1 to 4 - Mobile Scenario #32
TC_APPM_033 | Passed | Advocate office location GPS geolocation tagging - Mobile Scenario #33
TC_APPM_034 | Passed | Mobile deep-link routing for advocate invitation link - Mobile Scenario #34
TC_APPM_035 | Passed | Client legal entity type selector (Individual / Corporate) - Mobile Scenario #35
TC_APPM_036 | Passed | Senior partner admin approval gate for junior access - Mobile Scenario #36
TC_APPM_037 | Passed | Mobile auth rate-limit threshold (max 5 attempts per min) - Mobile Scenario #37
TC_APPM_038 | Passed | Client mobile profile auto-fill from LinkedIn OAuth - Mobile Scenario #38
TC_APPM_039 | Passed | Security question backup setup during account creation - Mobile Scenario #39
TC_APPM_040 | Passed | Mobile auth state sync across tablet and mobile phone - Mobile Scenario #40
TC_APPM_041 | Passed | Advocate signature upload via mobile touchscreen pad - Mobile Scenario #41
TC_APPM_042 | Passed | Client identity verification status badge rendering - Mobile Scenario #42
TC_APPM_043 | Passed | Mobile user preferences export to Lexi cloud sync - Mobile Scenario #43
TC_APPM_044 | Passed | Guest trial mode restricted access banner & upgrade callout - Mobile Scenario #44
TC_APPM_045 | Passed | Mobile biometric hardware availability fallback check - Mobile Scenario #45
TC_APPM_046 | Passed | Expired JWT refresh token auto-silent renewal pipeline - Mobile Scenario #46
TC_APPM_047 | Passed | Advocate mobile subscription tier feature toggle check - Mobile Scenario #47
TC_APPM_048 | Passed | Client privacy policy consent audit timestamp logging - Mobile Scenario #48
TC_APPM_049 | Passed | Mobile app update force-upgrade modal for critical patches - Mobile Scenario #49
TC_APPM_050 | Passed | Mobile login screen accessibility reader voice-over check - Mobile Scenario #50
TC_APPM_051 | Passed | Mobile search query for Non-Disclosure Agreement indemnity clause - Mobile Scenario #51
TC_APPM_052 | Passed | Commercial lease agreement clause auto-suggest filter - Mobile Scenario #52
TC_APPM_053 | Passed | Arbitration act section 34 statutory compliance search - Mobile Scenario #53
TC_APPM_054 | Passed | Intellectual Property assignment clause eligibility checker - Mobile Scenario #54
TC_APPM_055 | Passed | Employment agreement non-compete clause duration check - Mobile Scenario #55
TC_APPM_056 | Passed | Mobile statutory law keyword search with fuzzy matching - Mobile Scenario #56
TC_APPM_057 | Passed | High Court precedent citation filter by jurisdiction state - Mobile Scenario #57
TC_APPM_058 | Passed | Contract breach penalty clause search & risk scoring - Mobile Scenario #58
TC_APPM_059 | Passed | Mobile voice query search for Supreme Court land dispute rulings - Mobile Scenario #59
TC_APPM_060 | Passed | Corporate M&A due diligence clause checklist lookup - Mobile Scenario #60
TC_APPM_061 | Passed | Mobile scheme search keyword input & auto-suggest dropdown - Mobile Scenario #61
TC_APPM_062 | Passed | Mobile category filter drawer swipe open & multi-select - Mobile Scenario #62
TC_APPM_063 | Passed | Mobile Self eligibility form input (Age, Income, State) - Mobile Scenario #63
TC_APPM_064 | Passed | Mobile eligibility result card & match score rendering - Mobile Scenario #64
TC_APPM_065 | Passed | Mobile saved search query bookmarks & instant alert push - Mobile Scenario #65
TC_APPM_066 | Passed | Legal clause similarity score comparison model search - Mobile Scenario #66
TC_APPM_067 | Passed | Mobile semantic search query parser for NDA termination - Mobile Scenario #67
TC_APPM_068 | Passed | Contractual force majeure clause keyword index lookup - Mobile Scenario #68
TC_APPM_069 | Passed | Mobile law firm practice area taxonomy filter picker - Mobile Scenario #69
TC_APPM_070 | Passed | Supreme Court bench size filter (Single, Division, Full Bench) - Mobile Scenario #70
TC_APPM_071 | Passed | Mobile statute year filter slider (1950 to 2026) - Mobile Scenario #71
TC_APPM_072 | Passed | Intellectual property patent infringement precedent query - Mobile Scenario #72
TC_APPM_073 | Passed | Mobile legal dictionary term definition popup lookup - Mobile Scenario #73
TC_APPM_074 | Passed | Real estate property title deed verification search query - Mobile Scenario #74
TC_APPM_075 | Passed | Mobile case law search query auto-complete suggestions - Mobile Scenario #75
TC_APPM_076 | Passed | Consumer protection act claim eligibility score meter - Mobile Scenario #76
TC_APPM_077 | Passed | Mobile search result list infinite scroll pagination - Mobile Scenario #77
TC_APPM_078 | Passed | Legal precedent citation copy-to-clipboard action sheet - Mobile Scenario #78
TC_APPM_079 | Passed | Mobile search filters clear-all chip action handler - Mobile Scenario #79
TC_APPM_080 | Passed | Taxation dispute precedent lookup by assessment year - Mobile Scenario #80
TC_APPM_081 | Passed | Labor law dispute severance pay calculator search - Mobile Scenario #81
TC_APPM_082 | Passed | Mobile offline search cache lookup for bookmarked acts - Mobile Scenario #82
TC_APPM_083 | Passed | Environmental protection compliance rule legal search - Mobile Scenario #83
TC_APPM_084 | Passed | Mobile voice search noise cancellation & legal phrase parser - Mobile Scenario #84
TC_APPM_085 | Passed | Cross-border jurisdiction conflict search query filter - Mobile Scenario #85
TC_APPM_086 | Passed | Mobile recent search history clear & privacy toggle - Mobile Scenario #86
TC_APPM_087 | Passed | Banking debt recovery act tribunal precedence query - Mobile Scenario #87
TC_APPM_088 | Passed | Mobile legal search export result list to PDF file - Mobile Scenario #88
TC_APPM_089 | Passed | Information Technology Act 2000 cyber law clause lookup - Mobile Scenario #89
TC_APPM_090 | Passed | Mobile legal case search snippet highlight matching words - Mobile Scenario #90
TC_APPM_091 | Passed | Contract liability cap clause benchmarking search tool - Mobile Scenario #91
TC_APPM_092 | Passed | Mobile search result sorting by date, relevance, citation count - Mobile Scenario #92
TC_APPM_093 | Passed | Company Act 2013 board resolution template query - Mobile Scenario #93
TC_APPM_094 | Passed | Mobile legal research query sharing via WhatsApp link - Mobile Scenario #94
TC_APPM_095 | Passed | Constitutional law fundamental rights article 21 search - Mobile Scenario #95
TC_APPM_096 | Passed | Mobile search filter count badge live reactive counter - Mobile Scenario #96
TC_APPM_097 | Passed | Maritime law shipping contract dispute clause search - Mobile Scenario #97
TC_APPM_098 | Passed | Mobile search query spelling auto-correction suggestion - Mobile Scenario #98
TC_APPM_099 | Passed | Family law divorce alimony calculator search scenario - Mobile Scenario #99
TC_APPM_100 | Passed | Mobile legal search filter persistence across tab switches - Mobile Scenario #100
TC_APPM_101 | Passed | Mobile camera OCR scan for printed contract document - Mobile Scenario #101
TC_APPM_102 | Passed | PDF multi-page upload with embedded image extraction - Mobile Scenario #102
TC_APPM_103 | Passed | RAG vector database indexing for uploaded evidence PDF - Mobile Scenario #103
TC_APPM_104 | Passed | Mobile document camera flash toggle & high-res crop - Mobile Scenario #104
TC_APPM_105 | Passed | AI key-value metadata extractor for agreement dates - Mobile Scenario #105
TC_APPM_106 | Passed | Mobile camera auto-edge detection for legal document scanning - Mobile Scenario #106
TC_APPM_107 | Passed | Batch upload of 10 evidentiary photos from mobile gallery - Mobile Scenario #107
TC_APPM_108 | Passed | AI contract clause risk classifier on camera scanned document - Mobile Scenario #108
TC_APPM_109 | Passed | Mobile OCR perspective correction & perspective warp fix - Mobile Scenario #109
TC_APPM_110 | Passed | RAG vector embeddings similarity search on uploaded PDF - Mobile Scenario #110
TC_APPM_111 | Passed | Mobile file picker PDF validation (max size 25MB check) - Mobile Scenario #111
TC_APPM_112 | Passed | AI legal document type identifier (Agreement, Petition, Notice) - Mobile Scenario #112
TC_APPM_113 | Passed | Mobile camera blur detection & retry scan UI alert - Mobile Scenario #113
TC_APPM_114 | Passed | RAG chunking strategy optimizer for legal text parsing - Mobile Scenario #114
TC_APPM_115 | Passed | Mobile image color enhancement filter for faint text scan - Mobile Scenario #115
TC_APPM_116 | Passed | AI draft summary generation from scanned court notice - Mobile Scenario #116
TC_APPM_117 | Passed | Mobile upload progress bar with instant pause & resume - Mobile Scenario #117
